'of, the, issues, that', 37.19288935032239
'now, i, know, that', 37.19288935032239
'is, something, that, i', 37.19288935032239
'to, do, their, part', 37.19288935032239
'for, years, to, come', 37.19288935032239
'stay, in, their, homes', 37.19288935032239
'i, do, think, that', 37.19288935032239
'but, i, do, think', 37.19288935032239
'of, a, grateful, nation', 37.19288935032239
'to, meet, the, challenges', 37.19288935032239
'the, last, several, months', 37.19288935032239
'let, there, be, no', 37.19288935032239
'it, is, not, a', 37.19288935032239
'that, needs, to, be', 37.19288935032239
'a, lot, of, attention', 37.19288935032239
'to, do, is, to', 37.19288935032239
'going, to, try, to', 37.19288935032239
'jobs, of, the, future', 37.19288935032239
'what, the, american, people', 37.19288935032239
'its, important, for, us', 35.95312637197831
'will, have, to, be', 34.71336339363423
